from_node_id,to_node_id,distance_m,base_time_sec
246,260,40.14893177387227,3.6134038596485043
260,246,40.14893177387227,3.6134038596485043
240,239,40.35906325177652,3.6323156926598865
239,240,40.35906325177652,3.6323156926598865
61,60,41.2990902513274,2.973534498095573
60,61,41.2990902513274,2.973534498095573
345,322,41.30593161290648,3.717533845161583
322,345,41.30593161290648,3.717533845161583
251,241,41.70433621743641,3.7533902595692767
241,251,41.70433621743641,3.7533902595692767
197,137,42.50779312074546,3.8257013808670917
137,197,42.50779312074546,3.8257013808670917
197,198,42.82946276814853,3.8546516491333676
198,197,42.82946276814853,3.8546516491333676
330,360,42.937107644377576,3.8643396879939815
360,330,42.937107644377576,3.8643396879939815
185,72,43.047214624801775,3.8742493162321594
72,185,43.047214624801775,3.8742493162321594
353,79,43.56556673374592,3.9209010060371323
79,353,43.56556673374592,3.9209010060371323
354,353,44.055932027094016,3.965033882438461
353,354,44.055932027094016,3.965033882438461
200,181,44.26230867696299,3.983607780926669
181,200,44.26230867696299,3.983607780926669
276,333,44.45279576046047,4.000751618441442
333,276,44.45279576046047,4.000751618441442
260,250,44.59229173214255,4.013306255892829
250,260,44.59229173214255,4.013306255892829
251,240,45.560960849537764,4.100486476458399
240,251,45.560960849537764,4.100486476458399
210,196,45.865969501323555,4.12793725511912
196,210,45.865969501323555,4.12793725511912
204,200,46.039347523574406,4.143541277121696
200,204,46.039347523574406,4.143541277121696
269,270,46.0537554859149,3.315870394985873
270,269,46.0537554859149,3.315870394985873
255,248,46.18911617335802,4.157020455602222
248,255,46.18911617335802,4.157020455602222
276,275,46.44873992861387,4.180386593575248
275,276,46.44873992861387,4.180386593575248
265,139,46.54590412538393,3.351305097027643
139,265,46.54590412538393,3.351305097027643
239,241,46.944258106312404,4.2249832295681164
241,239,46.944258106312404,4.2249832295681164
287,289,47.1533912232847,4.243805210095623
289,287,47.1533912232847,4.243805210095623
186,207,47.17660627929187,4.245894565136268
207,186,47.17660627929187,4.245894565136268
282,358,47.49646646810439,4.274681982129395
358,282,47.49646646810439,4.274681982129395
290,288,47.510133844760375,4.2759120460284334
288,290,47.510133844760375,4.2759120460284334
253,242,47.52941334576739,4.2776472011190645
242,253,47.52941334576739,4.2776472011190645
336,334,47.7601213256842,4.2984109193115785
334,336,47.7601213256842,4.2984109193115785
285,286,47.86029017152197,4.307426115436977
286,285,47.86029017152197,4.307426115436977
333,335,47.88165996325998,4.309349396693398
335,333,47.88165996325998,4.309349396693398
285,73,47.921038646954045,4.312893478225864
73,285,47.921038646954045,4.312893478225864
228,305,48.03704352961332,3.4586671341321593
305,228,48.03704352961332,3.4586671341321593
337,336,48.131021210971454,4.33179190898743
336,337,48.131021210971454,4.33179190898743
355,93,48.22525826662648,4.340273243996384
93,355,48.22525826662648,4.340273243996384
356,354,48.22652402239358,4.340387162015423
354,356,48.22652402239358,4.340387162015423
288,221,48.64395214583502,4.377955693125152
221,288,48.64395214583502,4.377955693125152
186,185,48.64588651715436,4.378129786543893
185,186,48.64588651715436,4.378129786543893
192,75,48.760044708380825,4.388404023754274
75,192,48.760044708380825,4.388404023754274
208,287,48.878267412066116,4.39904406708595
287,208,48.878267412066116,4.39904406708595
348,350,49.65970014672937,4.469373013205644
350,348,49.65970014672937,4.469373013205644
219,220,50.07643350478317,4.506879015430485
220,219,50.07643350478317,4.506879015430485
317,166,50.080967710677875,4.507287093961009
166,317,50.080967710677875,4.507287093961009
332,334,50.365201423246575,4.532868128092192
334,332,50.365201423246575,4.532868128092192
49,50,50.377106230299056,3.627151648581532
50,49,50.377106230299056,3.627151648581532
